,International Terrorist Watch List,National Terrorist Watch List,National Law Enforcement,Local Law Enforcement,IRS or other Federal Finance Company,Face Match with Picture DB,Cash Payment Same Day,Immediate Family,Extented Family,Place of Worship,WatchList,Biometrics,Ticket Purchase,Link Analysis,Total
17796,1,1,0,1,0,1,1,0,0,1,91.1979,100,75,20,93.789055
31062,1,1,0,1,0,1,1,0,0,1,91.1979,100,75,20,93.789055
88471,1,0,1,0,0,1,1,0,0,1,90.9,100,75,20,93.655
78761,1,1,1,0,0,1,1,0,0,0,99.7272,100,75,0,93.62724
13123,0,1,1,0,0,1,2,0,0,0,85,100,100,0,93.25
31635,0,1,1,0,0,1,2,0,0,0,85,100,100,0,93.25
77755,1,0,1,1,0,1,1,0,0,0,98.82,100,75,0,93.219
59385,1,0,0,0,0,1,2,0,1,0,67,100,100,40,93.15
190,1,0,1,0,1,1,1,0,0,0,98.01,100,75,0,92.8545
64404,1,0,1,0,1,1,1,0,0,0,98.01,100,75,0,92.8545
37389,0,1,0,0,1,1,1,1,0,0,71,100,75,60,92.7
62902,1,0,0,0,1,1,1,0,0,1,87,100,75,20,91.9
2962,1,1,0,0,0,1,1,0,0,0,95.58,100,75,0,91.761
3333,0,1,0,0,0,1,1,1,1,0,51,100,75,100,91.7
63617,0,1,0,0,0,1,1,1,1,0,51,100,75,100,91.7
35673,0,1,1,1,0,1,1,0,0,0,95.4,100,75,0,91.68
84951,0,1,0,1,0,1,2,0,0,1,72,100,100,20,91.4
88760,0,1,0,0,1,1,2,0,0,1,71,100,100,20,90.95
94600,0,1,0,0,1,1,2,0,0,1,71,100,100,20,90.95
98992,1,0,0,0,0,1,1,1,0,0,67,100,75,60,90.9
70155,0,1,0,1,1,1,1,0,0,0,92,100,75,0,90.15
80467,0,1,0,1,1,1,1,0,0,0,92,100,75,0,90.15
6982,0,1,0,0,0,1,2,1,0,0,51,100,100,60,89.95
33803,0,1,0,0,0,1,2,1,0,0,51,100,100,60,89.95
32710,1,0,1,0,0,1,1,0,0,0,90.9,100,75,0,89.655
51446,1,0,1,0,0,1,1,0,0,0,90.9,100,75,0,89.655
38756,1,0,0,0,0,1,2,0,0,1,67,100,100,20,89.15
49376,1,0,0,0,0,1,2,0,0,1,67,100,100,20,89.15
13158,0,0,1,1,1,1,2,0,0,0,75,100,100,0,88.75
21928,0,0,1,1,1,1,2,0,0,0,75,100,100,0,88.75
38284,0,0,1,1,1,1,2,0,0,0,75,100,100,0,88.75
4742,1,0,0,1,0,1,1,0,0,0,88,100,75,0,88.35
4947,1,0,0,1,0,1,1,0,0,0,88,100,75,0,88.35
8195,1,0,0,1,0,1,1,0,0,0,88,100,75,0,88.35
12591,1,0,0,1,0,1,1,0,0,0,88,100,75,0,88.35
30281,1,0,0,1,0,1,1,0,0,0,88,100,75,0,88.35
32002,1,0,0,1,0,1,1,0,0,0,88,100,75,0,88.35
38075,1,0,0,1,0,1,1,0,0,0,88,100,75,0,88.35
48459,1,0,0,1,0,1,1,0,0,0,88,100,75,0,88.35
61172,1,0,0,1,0,1,1,0,0,0,88,100,75,0,88.35
3465,1,0,0,0,1,1,1,0,0,0,87,100,75,0,87.9
11144,1,0,0,0,1,1,1,0,0,0,87,100,75,0,87.9
19351,1,0,0,0,1,1,1,0,0,0,87,100,75,0,87.9
29980,1,0,0,0,1,1,1,0,0,0,87,100,75,0,87.9
50103,1,0,0,0,1,1,1,0,0,0,87,100,75,0,87.9
88205,1,0,0,0,1,1,1,0,0,0,87,100,75,0,87.9
95526,1,0,0,0,1,1,1,0,0,0,87,100,75,0,87.9
95892,1,0,0,0,1,1,1,0,0,0,87,100,75,0,87.9
89466,0,0,1,1,0,1,2,0,1,0,55,100,100,40,87.75
1281,0,1,0,1,0,1,2,0,0,0,72,100,100,0,87.4
4628,0,1,0,1,0,1,2,0,0,0,72,100,100,0,87.4
13181,0,1,0,1,0,1,2,0,0,0,72,100,100,0,87.4
43318,0,1,0,1,0,1,2,0,0,0,72,100,100,0,87.4
60887,0,1,0,1,0,1,2,0,0,0,72,100,100,0,87.4
38987,0,0,1,0,1,1,2,0,1,0,54,100,100,40,87.3
55353,0,0,1,0,1,1,2,0,1,0,54,100,100,40,87.3
23632,0,1,1,0,0,1,1,0,0,0,85,100,75,0,87
27266,0,1,1,0,0,1,1,0,0,0,85,100,75,0,87
70606,0,1,1,0,0,1,1,0,0,0,85,100,75,0,87
84906,0,1,1,0,0,1,1,0,0,0,85,100,75,0,87
91032,0,1,1,0,0,1,1,0,0,0,85,100,75,0,87
92888,0,1,1,0,0,1,1,0,0,0,85,100,75,0,87
22334,0,1,0,0,1,1,2,0,0,0,71,100,100,0,86.95
59182,0,1,0,0,1,1,2,0,0,0,71,100,100,0,86.95
85554,0,1,0,0,1,1,2,0,0,0,71,100,100,0,86.95
96375,0,1,0,0,1,1,2,0,0,0,71,100,100,0,86.95
11838,1,0,0,0,0,1,1,0,1,0,67,100,75,40,86.9
78986,1,0,0,0,0,1,1,0,1,0,67,100,75,40,86.9
78129,0,0,0,1,1,1,2,1,0,0,41,100,100,60,85.45
80793,0,0,0,1,1,1,2,1,0,0,41,100,100,60,85.45
3788,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
8102,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
8193,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
11668,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
15931,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
16211,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
32673,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
36776,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
46882,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
85077,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
89967,1,0,0,0,0,1,2,0,0,0,67,100,100,0,85.15
11433,1,1,0,0,0,1,0,1,0,0,95.58,100,0,60,85.011
27521,1,0,0,0,1,0,2,1,1,0,87,0,100,100,84.15
41775,0,1,0,0,0,1,1,0,1,1,51,100,75,60,83.7
74324,0,1,0,0,0,1,1,0,1,1,51,100,75,60,83.7
52756,0,0,1,0,1,1,2,0,0,1,54,100,100,20,83.3
27181,1,0,0,0,0,1,1,0,0,1,67,100,75,20,82.9
38149,1,0,0,0,0,1,1,0,0,1,67,100,75,20,82.9
44091,1,0,0,0,0,1,1,0,0,1,67,100,75,20,82.9
68948,1,0,0,0,0,1,1,0,0,1,67,100,75,20,82.9
10147,0,0,1,1,1,1,1,0,0,0,75,100,75,0,82.5
57050,0,0,1,1,1,1,1,0,0,0,75,100,75,0,82.5
69615,1,0,1,1,0,1,0,0,1,0,98.82,100,0,40,82.469
36256,0,1,0,1,0,1,0,1,1,0,72,100,0,100,82.4
8308,0,0,1,0,0,1,2,1,0,0,34,100,100,60,82.3
43885,0,0,1,0,0,1,2,1,0,0,34,100,100,60,82.3
68023,0,0,1,0,0,1,2,1,0,0,34,100,100,60,82.3
1235,0,1,0,0,1,1,0,1,1,0,71,100,0,100,81.95
3932,0,1,0,0,0,1,2,0,0,1,51,100,100,20,81.95
4925,0,1,0,0,0,1,2,0,0,1,51,100,100,20,81.95
50591,0,1,0,0,0,1,2,0,0,1,51,100,100,20,81.95
63078,0,1,0,0,0,1,2,0,0,1,51,100,100,20,81.95
64581,0,1,0,0,0,1,2,0,0,1,51,100,100,20,81.95
75346,0,1,0,0,0,1,2,0,0,1,51,100,100,20,81.95
87132,0,1,0,0,0,1,2,0,0,1,51,100,100,20,81.95
3484,1,0,0,1,1,1,0,0,1,0,97.2,100,0,40,81.74
19212,1,0,0,1,0,1,0,0,1,1,88,100,0,60,81.6
14485,0,0,0,1,1,1,2,0,1,0,41,100,100,40,81.45
86708,0,0,0,1,1,1,2,0,1,0,41,100,100,40,81.45
1782,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
6895,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
18593,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
27929,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
36445,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
53994,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
59639,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
69354,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
70169,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
83349,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
84493,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
84698,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
92229,0,1,0,1,0,1,1,0,0,0,72,100,75,0,81.15
6679,1,0,0,0,1,1,0,1,0,0,87,100,0,60,81.15
72935,1,0,0,0,1,1,0,1,0,0,87,100,0,60,81.15
1753,0,0,1,0,1,1,1,0,1,0,54,100,75,40,81.05
62340,0,0,1,0,1,1,1,0,1,0,54,100,75,40,81.05
84050,0,0,1,0,1,1,1,0,1,0,54,100,75,40,81.05
89772,0,0,1,0,1,1,1,0,1,0,54,100,75,40,81.05
32198,1,1,0,0,0,1,0,0,1,0,95.58,100,0,40,81.011
11680,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
13471,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
16772,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
26024,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
29821,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
29987,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
40875,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
40930,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
42516,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
42756,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
45783,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
49130,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
51475,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
55928,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
62480,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
64058,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
78285,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
84934,0,1,0,0,1,1,1,0,0,0,71,100,75,0,80.7
20336,1,0,0,0,1,0,2,1,0,1,87,0,100,80,80.15
91740,1,0,0,0,0,1,0,1,1,0,67,100,0,100,80.15
84473,0,0,1,0,0,1,1,1,0,1,34,100,75,80,80.05
3567,0,0,0,0,1,1,2,1,0,1,20,100,100,80,80
20794,0,0,1,1,0,1,2,0,0,0,55,100,100,0,79.75
35332,0,0,1,1,0,1,2,0,0,0,55,100,100,0,79.75
45305,0,0,1,1,0,1,2,0,0,0,55,100,100,0,79.75
66804,0,0,1,1,0,1,2,0,0,0,55,100,100,0,79.75
91799,0,0,1,1,0,1,2,0,0,0,55,100,100,0,79.75
7345,0,1,0,0,0,1,1,0,1,0,51,100,75,40,79.7
16662,0,1,0,0,0,1,1,0,1,0,51,100,75,40,79.7
57326,0,1,0,0,0,1,1,0,1,0,51,100,75,40,79.7
67580,0,1,0,0,0,1,1,0,1,0,51,100,75,40,79.7
81842,0,1,0,0,0,1,1,0,1,0,51,100,75,40,79.7
35249,0,1,1,0,1,0,2,1,0,0,94.5,0,100,60,79.525
6845,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
8977,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
22089,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
42271,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
51099,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
56742,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
59506,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
63327,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
67638,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
75834,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
79724,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
99362,0,0,1,0,1,1,2,0,0,0,54,100,100,0,79.3
16885,0,0,0,1,1,1,1,1,0,0,41,100,75,60,79.2
40029,0,0,0,1,1,1,1,1,0,0,41,100,75,60,79.2
2319,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
3539,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
7531,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
16591,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
17074,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
21996,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
23130,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
27631,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
28609,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
37219,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
37608,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
43035,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
45110,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
46210,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
52316,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
58897,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
61498,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
63060,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
63769,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
68901,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
70502,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
74110,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
78856,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
82797,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
88717,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
89777,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
94404,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
96289,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
96492,1,0,0,0,0,1,1,0,0,0,67,100,75,0,78.9
61853,0,0,1,0,0,1,2,0,1,0,34,100,100,40,78.3
81673,0,0,1,0,0,1,2,0,1,0,34,100,100,40,78.3
16849,0,0,0,1,0,1,1,1,1,0,21,100,75,100,78.2
75036,0,0,0,1,0,1,1,1,1,0,21,100,75,100,78.2
71177,1,0,1,0,1,1,0,0,0,1,98.01,100,0,20,78.1045
8663,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
9960,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
14440,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
17748,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
18225,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
22340,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
28094,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
32007,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
34986,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
37466,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
42503,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
43305,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
50427,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
53104,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
72865,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
74639,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
77406,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
84794,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
93808,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
94055,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
94357,0,1,0,0,0,1,2,0,0,0,51,100,100,0,77.95
90473,1,0,1,0,0,0,2,1,0,0,90.9,0,100,60,77.905
17714,1,0,0,0,1,0,1,1,1,0,87,0,75,100,77.9
19838,0,0,0,0,1,1,1,1,1,0,20,100,75,100,77.75
40019,0,0,0,0,1,1,1,1,1,0,20,100,75,100,77.75
31754,1,1,0,0,1,0,2,1,0,0,90.5418,0,100,60,77.74381
10212,1,0,0,1,1,1,0,0,0,1,97.2,100,0,20,77.74
94163,1,0,0,1,1,1,0,0,0,1,97.2,100,0,20,77.74
2551,1,0,0,1,0,1,0,0,1,0,88,100,0,40,77.6
71487,1,0,0,1,0,1,0,0,1,0,88,100,0,40,77.6
35106,0,0,1,1,0,1,1,0,0,1,55,100,75,20,77.5
77767,0,0,1,1,0,1,1,0,0,1,55,100,75,20,77.5
89773,0,0,1,1,0,1,1,0,0,1,55,100,75,20,77.5
12801,0,0,0,1,1,1,2,0,0,1,41,100,100,20,77.45
37454,0,0,0,1,1,1,2,0,0,1,41,100,100,20,77.45
70103,0,1,1,0,1,0,1,1,0,1,94.5,0,75,80,77.275
5533,1,0,0,0,1,1,0,0,1,0,87,100,0,40,77.15
10852,1,0,0,0,1,1,0,0,1,0,87,100,0,40,77.15
13636,1,0,0,0,1,1,0,0,1,0,87,100,0,40,77.15
32561,1,0,0,0,1,1,0,0,1,0,87,100,0,40,77.15
62322,1,0,0,0,1,1,0,0,1,0,87,100,0,40,77.15
30685,0,0,1,0,1,1,1,0,0,1,54,100,75,20,77.05
39532,0,0,1,0,1,1,1,0,0,1,54,100,75,20,77.05
42859,0,0,1,0,1,1,1,0,0,1,54,100,75,20,77.05
20017,1,0,0,1,0,0,2,1,0,0,88,0,100,60,76.6
27414,0,1,1,0,1,1,0,0,0,1,94.5,100,0,20,76.525
3967,0,0,0,1,0,1,2,1,0,0,21,100,100,60,76.45
19153,0,0,0,1,0,1,2,1,0,0,21,100,100,60,76.45
86924,0,0,0,1,0,1,2,1,0,0,21,100,100,60,76.45
61998,0,1,1,0,0,1,0,0,1,0,85,100,0,40,76.25
78281,0,1,1,0,0,1,0,0,1,0,85,100,0,40,76.25
60214,1,0,0,0,1,0,2,1,0,0,87,0,100,60,76.15
69966,1,0,0,0,1,0,2,1,0,0,87,0,100,60,76.15
25955,0,0,1,0,0,1,1,1,0,0,34,100,75,60,76.05
43406,1,1,0,0,0,0,2,0,1,0,95.58,0,100,40,76.011
62660,1,1,0,0,0,0,2,0,1,0,95.58,0,100,40,76.011
90309,1,1,0,0,0,0,2,0,1,0,95.58,0,100,40,76.011
2167,0,0,0,0,1,1,2,1,0,0,20,100,100,60,76
10286,0,0,0,0,1,1,2,1,0,0,20,100,100,60,76
10510,0,0,0,0,1,1,2,1,0,0,20,100,100,60,76
10728,0,0,0,0,1,1,2,1,0,0,20,100,100,60,76
30301,0,0,0,0,1,1,2,1,0,0,20,100,100,60,76
42486,0,0,0,0,1,1,2,1,0,0,20,100,100,60,76
71835,0,0,0,0,1,1,2,1,0,0,20,100,100,60,76
89348,0,0,0,0,1,1,2,1,0,0,20,100,100,60,76
90255,0,0,0,0,1,1,2,1,0,0,20,100,100,60,76
97665,0,0,0,0,1,1,2,1,0,0,20,100,100,60,76
2732,0,1,0,0,0,1,1,0,0,1,51,100,75,20,75.7
3868,0,1,0,0,0,1,1,0,0,1,51,100,75,20,75.7
25039,0,1,0,0,0,1,1,0,0,1,51,100,75,20,75.7
44004,0,1,0,0,0,1,1,0,0,1,51,100,75,20,75.7
66016,0,1,0,0,0,1,1,0,0,1,51,100,75,20,75.7
20598,0,1,1,0,1,0,2,0,1,0,94.5,0,100,40,75.525
5497,0,1,1,0,0,0,2,1,0,0,85,0,100,60,75.25
60808,0,1,1,0,0,0,2,1,0,0,85,0,100,60,75.25
78245,0,1,1,0,0,0,2,1,0,0,85,0,100,60,75.25
22683,0,0,0,1,1,1,1,0,1,0,41,100,75,40,75.2
28936,0,0,0,1,1,1,1,0,1,0,41,100,75,40,75.2
47204,0,0,0,1,1,1,1,0,1,0,41,100,75,40,75.2
69954,0,0,0,1,1,1,1,0,1,0,41,100,75,40,75.2
87831,0,0,0,1,1,1,1,0,1,0,41,100,75,40,75.2
408,1,0,0,0,0,0,2,1,1,0,67,0,100,100,75.15
7000,0,0,0,0,0,1,2,1,1,0,0,100,100,100,75
76977,0,0,0,0,0,1,2,1,1,0,0,100,100,100,75
1407,0,0,1,1,0,1,0,1,1,0,55,100,0,100,74.75
53870,1,0,1,1,0,1,0,0,0,0,98.82,100,0,0,74.469
60951,0,0,0,0,0,1,2,1,1,1,0,100,100,97.2,74.44
7214,0,1,0,1,0,1,0,0,1,1,72,100,0,60,74.4
82228,0,1,0,1,0,1,0,0,1,1,72,100,0,60,74.4
91617,0,1,0,1,1,0,2,0,1,0,92,0,100,40,74.4
23937,0,0,1,0,0,1,2,0,0,1,34,100,100,20,74.3
31910,0,0,1,0,0,1,2,0,0,1,34,100,100,20,74.3
37473,0,0,1,0,0,1,2,0,0,1,34,100,100,20,74.3
55544,0,0,1,0,0,1,2,0,0,1,34,100,100,20,74.3
67364,0,0,1,0,1,1,0,1,1,0,54,100,0,100,74.3
93843,0,0,1,0,0,1,2,0,0,1,34,100,100,20,74.3
94722,0,0,1,0,0,1,2,0,0,1,34,100,100,20,74.3
10632,1,0,1,0,1,1,0,0,0,0,98.01,100,0,0,74.1045
12465,0,1,0,0,1,1,0,1,0,0,71,100,0,60,73.95
13394,0,1,0,0,1,1,0,1,0,0,71,100,0,60,73.95
22315,0,1,0,0,1,1,0,1,0,0,71,100,0,60,73.95
26397,0,1,0,0,1,1,0,1,0,0,71,100,0,60,73.95
43186,0,1,0,0,1,1,0,0,1,1,71,100,0,60,73.95
55097,0,1,0,0,1,1,0,1,0,0,71,100,0,60,73.95
13496,1,0,1,0,0,0,2,0,1,0,90.9,0,100,40,73.905
55735,0,0,0,0,1,1,1,1,0,1,20,100,75,80,73.75
86648,1,1,0,0,1,0,2,0,1,0,90.5418,0,100,40,73.74381
5815,1,0,0,1,1,1,0,0,0,0,97.2,100,0,0,73.74
26135,1,0,0,1,1,1,0,0,0,0,97.2,100,0,0,73.74
91112,1,0,0,1,1,1,0,0,0,0,97.2,100,0,0,73.74
95232,1,0,0,1,1,1,0,0,0,0,97.2,100,0,0,73.74
82724,0,1,1,1,0,0,1,1,0,0,95.4,0,75,60,73.68
98845,0,1,1,1,0,0,1,1,0,0,95.4,0,75,60,73.68
3946,1,0,0,1,0,1,0,0,0,1,88,100,0,20,73.6
45186,1,0,0,1,0,1,0,0,0,1,88,100,0,20,73.6
45409,1,0,0,1,0,1,0,0,0,1,88,100,0,20,73.6
5569,0,0,1,1,0,1,1,0,0,0,55,100,75,0,73.5
13453,0,0,1,1,0,1,1,0,0,0,55,100,75,0,73.5
21148,0,0,1,1,0,1,1,0,0,0,55,100,75,0,73.5
26583,0,0,1,1,0,1,1,0,0,0,55,100,75,0,73.5
50587,0,0,1,1,0,1,1,0,0,0,55,100,75,0,73.5
59359,0,0,1,1,0,1,1,0,0,0,55,100,75,0,73.5
69741,0,0,1,1,0,1,1,0,0,0,55,100,75,0,73.5
71948,0,0,1,1,0,1,1,0,0,0,55,100,75,0,73.5
74354,0,0,1,1,0,1,1,0,0,0,55,100,75,0,73.5
96421,0,0,1,1,0,1,1,0,0,0,55,100,75,0,73.5
21600,1,0,1,1,0,0,2,0,0,1,98.82,0,100,20,73.469
8622,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
11421,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
12582,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
16513,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
17718,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
17806,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
17905,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
24152,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
27930,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
30475,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
31847,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
39124,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
52718,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
54581,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
54916,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
57823,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
59841,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
60649,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
60763,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
61553,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
62961,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
70714,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
92969,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
93002,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
93012,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
93859,0,0,0,1,1,1,2,0,0,0,41,100,100,0,73.45
